"","Q_local","Q_global","mean_R_NX","AUC_lnK_R_NX","total_correlation","cophenetic_correlation","distance_correlation","reconstruction_rmse"
"DiffusionMaps",0.219843996366417,0.154042319547368,0.381605103910418,0.201286496210207,0.13830120455443,0.620508145902619,0.817057017480585,NA
"DRR",0.215931566962411,0.154575065324359,0.379444173802583,0.199674729038931,0.141484211984341,0.612442559708557,0.819353394543651,NA
"FastICA",0.209639518538272,0.158404884736079,0.375622109886528,0.198735808663349,0.14148312720885,0.604618966318287,0.814519794898106,0.656684054046526
"KamadaKawai",0.245967472727606,0.183438034956518,0.474313108528063,0.21927183275063,0.122689530667684,0.739070512254895,0.791153804759339,NA
"DrL",0.0188201940261373,0.0159426468894547,0.0409022052180547,0.0164139724114604,0.0102056037715758,0.102871297183389,0.327125213312152,NA
"FruchtermanReingold",0.214756364897928,0.157647827854624,0.38610401602696,0.190672215444676,0.123766176958466,0.635254770302885,0.784740868184768,NA
"HLLE",0.0229978628044805,0.0200117010169168,0.0656089578184388,0.0216742994155082,0.0142597646651431,0.169427236508181,0.329909727405764,NA
"Isomap",0.183683134012096,0.12234743970724,0.275744717299377,0.161461081358113,0.122687705708813,0.426380035908241,0.798087533969388,NA
"kPCA",0.05831589958159,-0.0461477186802402,-0.128301454453716,-0.00590960804933966,0.0133878736940847,-0.182423443115478,0.327221621912463,18.003771644722
"LaplacianEigenmaps",0.179629218878548,0.120826358081369,0.264418578723562,0.154863515846588,0.120614623530933,0.415981972123848,0.791898218127566,NA
"LLE",0.160388287336735,0.110156649452396,0.257341347146013,0.149802853904942,0.12962849132049,0.413684036985433,0.735887749748125,NA
"MDS",0.217417599093222,0.153201808561953,0.379441222173754,0.199669816642922,0.141555024864092,0.612412445857976,0.819345857520043,NA
"nMDS",0.27291104780869,0.206377383488532,0.536305895879432,0.248938237573613,0.115396745483341,0.835848815755825,0.795871742805455,NA
"PCA",0.217417599093222,0.153201808561953,0.379441222173754,0.199669816642922,0.141483127208849,0.612412445857976,0.819345857520043,0.656684054046526
"tSNE",0.320702943398419,0.159129309720356,0.299853829316067,0.319894556260899,0.0928649893706722,0.486023528208339,0.710621732167034,NA
"FA",0.180474612000359,0.142760240730263,0.342135591774259,0.178461824761098,0.179447029604184,0.54973531103525,0.781516262732002,0.727760901475528
